downloadable,free,id,name,url,pdf_url
TRUE,TRUE,8110,Hat & Wrapover Scarf (Scarf),http://www.lionbrand.com/knitting-pattern-hat-wrapover-scarf-1.html,http://www.lionbrand.com/printablePatterns/kb-hatWrapoverScarf.pdf
TRUE,TRUE,14943,Hat & Scarf Set #40421-K (Scarf),https://www.lionbrand.com/products/knitting-pattern-hat-scarf-set-4,https://cdn.accentuate.io/4679010058333/12378270040157/40421-ka-v1592439438084.pdf
TRUE,TRUE,16593,Berry Hat,https://www.interweave.com/article/knitting/get-10-free-knit-hat-patterns/,http://interweaveknits.com/freepatterns/pdf/win_05/Cover_Ears.pdf
TRUE,TRUE,41022,Hat with Heart Earflaps (knit),https://www.lionbrand.com/products/knitting-pattern-hat-with-heart-earflaps-1,https://cdn.accentuate.io/4679013990493/12378270040157/40534ka-v1592432347964.pdf
TRUE,TRUE,50941,Hat and Scarf #30281 (Hat),http://www.lionbrand.com/patterns/kcw-hatScarf.html,http://www.lionbrand.com/printablePatterns/kcw-hatScarf.pdf
TRUE,TRUE,77040,Hat with Ear Flaps,,https://web.archive.org/web/20120328233352/http://www.oxfamireland.org/pdfs/knitting/knitting_hat_flaps.pdf
TRUE,TRUE,128974,No. 472 Alpine Hat,http://www.antiquepatternlibrary.org/html/warm/9-KL001.htm,http://antiquepatterns.dreamhosters.com/BarsalouxPrisSweater.pdf
TRUE,TRUE,141453,Earflap Hat with Peak #149,https://www.yarnspirations.com/patons-earflap-hat-with-peak/PAK0116-003448M.html,http://com.yarnspirations.pattern-pdfs.s3.amazonaws.com/Patons_ShetlandChunky149_kn_hat.en_US.pdf
TRUE,TRUE,158429,Teen's Tassel Hat,http://nerdgirlyarns.com/free-patterns/free-knitting-pattern-teens-tassel-hat/,http://nerdgirlyarns.com/patterns/teenstasslehat.pdf
TRUE,TRUE,213849,Floppy Knit Hat,https://www.yarnspirations.com/red-heart-floppy-knit-hat/RHK0116-014537M.html,https://www.yarnspirations.com/on/demandware.static/-/Sites-master-catalog-spinrite/default/dw55fc6f5c/PDF/RHK0116-014537M.pdf
TRUE,TRUE,216272,Hat & Scarf for L'Homme,https://www.yarnspirations.com/red-heart-hat-scarf-for-ihomme/RHK0438-022931M.html,https://www.yarnspirations.com/on/demandware.static/-/Sites-master-catalog-spinrite/default/dw9cacd9d7/PDF/RHK0438-022931M.pdf
TRUE,TRUE,221204,Looped Tassel Hat,https://www.yarnspirations.com/red-heart-looped-tassel-hat/RHK0116-023376M.html,https://www.yarnspirations.com/on/demandware.static/-/Sites-master-catalog-spinrite/default/dwad62294c/PDF/RHK0116-023376M.pdf
TRUE,TRUE,222062,210-211-18 Turban Hat,http://gosyo.co.jp/english/pattern/eHTML/hat.html,http://www.gosyo.co.jp/img/acrobat/210211/210-211-18.pdf
TRUE,TRUE,251010,"Hat, Scarf & Mitt Set",https://www.yarnspirations.com/red-heart-hat--scarf-mitt-set/RHK0438-025494M.html,https://www.yarnspirations.com/on/demandware.static/-/Sites-master-catalog-spinrite/default/dw9c901cea/PDF/RHK0438-025494M.pdf
TRUE,TRUE,292617,Hat and Scarf Set (Hat),https://www.lionbrand.com/products/knitting-pattern-hat-scarf-set-6,https://cdn.accentuate.io/4679239532637/12378270040157/Knit-Pattern-Hat-And-Scarf-Set-L10447-v1591310695782.PDF
TRUE,TRUE,292704,Hat and Scarf Set (Scarf),http://www.lionbrand.com/patterns/L10447.html,http://www.lionbrand.com/printablePatterns/L10447.pdf
TRUE,TRUE,309580,Hubby's Tube Hat,http://leideedisusy.wordpress.com/2012/03/26/hubbys-tube-hat-cappello-da-uomo-ai-ferri/,http://leideedisusy.files.wordpress.com/2012/03/mans-tube-hat-eng1.pdf
